RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13,RespMat_14,RespMat_15,RespMat_16,RespMat_17,RespMat_18,,,,,,,,,,,,,,,,,,
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T,,RT - ms,RT - Correct Responses,RT  - All Above 200ms,RT - Removed Outliers (3STD),,,Averages,,,,,,,STDEV,Average,,Outliers,Q1`,Q3,IQR,Upper Bound,Lower Bound
,223,5,31,2,2,a,a,1,0.510121384,1,3,2,,510.1213838,510.12,510.1213838,510.1213838,,,,,,,,,,,,,,,,,,
,228,5,36,2,1,z,z,1,0.721974977,1,3,2,,721.9749769,721.97,721.9749769,721.9749769,,,,,,,,,,,,,,,,,,
,230,5,38,1,1,z,z,1,0.613275132,1,3,3,,613.2751323,613.28,613.2751323,613.2751323,,,,,,,,,,,,,,,,,,
,231,5,39,2,1,a,a,1,0.835923389,1,3,4,,835.9233888,835.92,835.9233888,835.9233888,,,,,,,,,,,,,,,,,,
,232,5,40,1,2,a,a,1,0.463252348,1,3,1,,463.2523482,463.25,463.2523482,463.2523482,,,,,,,,,,,,,,,,,,
,239,5,47,1,2,z,z,1,0.637955801,1,3,2,,637.9558007,637.96,637.9558007,637.9558007,,,,,,,,,,,,,,,,,,
,240,5,48,1,1,z,z,1,0.617405833,1,3,3,,617.4058332,617.41,617.4058332,617.4058332,,,,,,,,,,,,,,,,,,
,241,6,1,2,1,a,a,1,0.503463679,1,3,1,,503.463679,503.46,503.463679,503.463679,,,,,,,,,,,,,,,,,,
,242,6,2,2,1,a,a,1,0.585717593,1,3,1,,585.7175934,585.72,585.7175934,585.7175934,,,,,,,,,,,,,,,,,,
,243,6,3,1,1,a,z,0,0.459557985,2,3,2,,459.5579848,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,244,6,4,1,1,a,a,1,1.065221955,1,3,4,,1065.221955,1065.22,1065.221955,1065.221955,,,,,,,,,,,,,,,,,,
,245,6,5,1,1,z,z,1,0.722204239,1,3,2,,722.204239,722.20,722.204239,722.204239,,,,,,,,,,,,,,,,,,
,253,6,13,2,2,z,a,0,0.560481121,1,3,4,,560.4811206,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,257,6,17,2,1,a,a,1,0.690255448,1,3,3,,690.2554481,690.26,690.2554481,690.2554481,,,,,,,,,,,,,,,,,,
,259,6,19,1,1,a,a,1,0.792075721,1,3,1,,792.0757214,792.08,792.0757214,792.0757214,,,,,,,,,,,,,,,,,,
,265,6,25,1,1,z,z,1,0.842467885,1,3,3,,842.4678848,842.47,842.4678848,842.4678848,,,,,,,,,,,,,,,,,,
,266,6,26,2,1,z,z,1,0.602537357,2,3,2,,602.5373575,602.54,602.5373575,602.5373575,,,,,,,,,,,,,,,,,,
,270,6,30,1,1,a,a,1,1.248442809,1,3,3,,1248.442809,1248.44,1248.442809,1248.442809,,,,,,,,,,,,,,,,,,
,272,6,32,1,2,z,z,1,0.601630549,1,3,3,,601.6305488,601.63,601.6305488,601.6305488,,,,,,,,,,,,,,,,,,
,273,6,33,1,1,z,z,1,0.621683876,1,3,4,,621.6838765,621.68,621.6838765,621.6838765,,,,,,,,,,,,,,,,,,
,276,6,36,2,1,a,a,1,1.271986838,2,3,4,,1271.986838,1271.99,1271.986838,1271.986838,,,,,,,,,,,,,,,,,,
,280,6,40,2,1,a,a,1,0.542654423,1,3,1,,542.6544234,542.65,542.6544234,542.6544234,,,,,,,,,,,,,,,,,,
,283,6,43,2,1,a,z,0,0.904304952,1,3,1,,904.3049517,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,289,7,1,1,2,z,a,0,1.270958287,1,3,3,,1270.958287,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,294,7,6,1,1,a,a,1,0.855482921,1,3,3,,855.4829211,855.48,855.4829211,855.4829211,,,,,,,,,,,,,,,,,,
,295,7,7,1,1,z,p,0,1.500133404,1,3,3,,1500.133404,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,298,7,10,2,1,z,p,0,1.500172658,1,3,3,,1500.172658,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,301,7,13,2,1,a,a,1,0.480618245,1,3,2,,480.6182454,480.62,480.6182454,480.6182454,,,,,,,,,,,,,,,,,,
,302,7,14,1,1,z,z,1,0.680774917,1,3,3,,680.7749175,680.77,680.7749175,680.7749175,,,,,,,,,,,,,,,,,,
,304,7,16,2,1,z,z,1,0.542620859,1,3,4,,542.620859,542.62,542.620859,542.620859,,,,,,,,,,,,,,,,,,
,309,7,21,2,2,a,a,1,0.552578118,1,3,2,,552.5781184,552.58,552.5781184,552.5781184,,,,,,,,,,,,,,,,,,
,319,7,31,1,1,z,z,1,1.035329128,2,3,4,,1035.329128,1035.33,1035.329128,1035.329128,,,,,,,,,,,,,,,,,,
,321,7,33,2,1,z,z,1,0.849564772,1,3,2,,849.5647718,849.56,849.5647718,849.5647718,,,,,,,,,,,,,,,,,,
,324,7,36,1,1,a,a,1,0.7440581,1,3,3,,744.0580996,744.06,744.0580996,744.0580996,,,,,,,,,,,,,,,,,,
,325,7,37,2,2,a,a,1,0.576984583,1,3,4,,576.9845826,576.98,576.9845826,576.9845826,,,,,,,,,,,,,,,,,,
,326,7,38,2,1,z,z,1,0.818717918,1,3,3,,818.7179182,818.72,818.7179182,818.7179182,,,,,,,,,,,,,,,,,,
,332,7,44,1,1,z,z,1,0.781327138,1,3,1,,781.3271377,781.33,781.3271377,781.3271377,,,,,,,,,,,,,,,,,,
,333,7,45,1,1,z,z,1,1.233594814,2,3,1,,1233.594814,1233.59,1233.594814,1233.594814,,,,,,,,,,,,,,,,,,
,334,7,46,2,1,z,z,1,0.513682058,2,3,2,,513.6820583,513.68,513.6820583,513.6820583,,,,,,,,,,,,,,,,,,
,337,8,1,2,1,z,p,0,1.500041244,1,3,2,,1500.041244,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,343,8,7,2,1,a,a,1,0.548990706,1,3,4,,548.990706,548.99,548.990706,548.990706,,,,,,,,,,,,,,,,,,
,345,8,9,2,1,z,z,1,0.85401405,1,3,3,,854.0140504,854.01,854.0140504,854.0140504,,,,,,,,,,,,,,,,,,
,349,8,13,2,2,z,a,0,0.732104041,1,3,2,,732.1040406,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,352,8,16,1,1,a,p,0,1.500136818,1,3,3,,1500.136818,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,353,8,17,1,1,a,z,0,0.409471883,1,3,2,,409.4718834,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,356,8,20,1,1,z,z,1,0.558762508,1,3,3,,558.7625077,558.76,558.7625077,558.7625077,,,,,,,,,,,,,,,,,,
,357,8,21,1,1,z,z,1,0.707376154,1,3,3,,707.3761543,707.38,707.3761543,707.3761543,,,,,,,,,,,,,,,,,,
,361,8,25,2,1,z,z,1,1.156598569,1,3,3,,1156.598569,1156.60,1156.598569,1156.598569,,,,,,,,,,,,,,,,,,
,365,8,29,2,1,z,z,1,0.701076281,1,3,2,,701.0762806,701.08,701.0762806,701.0762806,,,,,,,,,,,,,,,,,,
,373,8,37,1,2,a,a,1,0.668491472,1,3,2,,668.491472,668.49,668.491472,668.491472,,,,,,,,,,,,,,,,,,
,374,8,38,1,2,z,z,1,0.814455235,1,3,2,,814.455235,814.46,814.455235,814.455235,,,,,,,,,,,,,,,,,,
,376,8,40,2,1,z,z,1,0.853259135,1,3,1,,853.259135,853.26,853.259135,853.259135,,,,,,,,,,,,,,,,,,
,377,8,41,1,2,z,z,1,0.57824012,1,3,2,,578.24012,578.24,578.24012,578.24012,,,,,,,,,,,,,,,,,,
,379,8,43,2,1,z,z,1,0.874480391,1,3,4,,874.4803913,874.48,874.4803913,874.4803913,,,,,,,,,,,,,,,,,,
,381,8,45,1,1,a,a,1,0.589450641,1,3,2,,589.4506413,589.45,589.4506413,589.4506413,,,,,,,,,,,,,,,,,,
,386,9,2,1,1,z,z,1,1.106102868,1,3,4,,1106.102868,1106.10,1106.102868,1106.102868,,,,,,,,,,,,,,,,,,
,388,9,4,2,1,z,z,1,0.677479345,1,3,3,,677.4793451,677.48,677.4793451,677.4793451,,,,,,,,,,,,,,,,,,
,394,9,10,1,1,z,z,1,1.493034811,1,3,3,,1493.034811,1493.03,1493.034811,Outlier,,,,,,,,,,,,,,,,,,
,396,9,12,1,1,a,a,1,0.563804568,1,3,2,,563.8045685,563.80,563.8045685,563.8045685,,,,,,,,,,,,,,,,,,
,397,9,13,1,2,a,a,1,0.319382665,1,3,4,,319.3826647,319.38,319.3826647,319.3826647,,,,,,,,,,,,,,,,,,
,401,9,17,2,1,z,a,0,0.567806132,1,3,1,,567.8061318,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,403,9,19,2,1,z,z,1,0.72479894,1,3,1,,724.7989405,724.80,724.7989405,724.7989405,,,,,,,,,,,,,,,,,,
,405,9,21,2,1,a,p,0,1.50001792,1,3,1,,1500.01792,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,413,9,29,1,1,z,z,1,0.807224659,1,3,4,,807.2246594,807.22,807.2246594,807.2246594,,,,,,,,,,,,,,,,,,
,415,9,31,2,1,a,p,0,1.500129422,1,3,3,,1500.129422,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,420,9,36,2,1,z,z,1,0.590456437,1,3,1,,590.4564365,590.46,590.4564365,590.4564365,,,,,,,,,,,,,,,,,,
,426,9,42,2,1,z,z,1,1.412083652,1,3,4,,1412.083652,1412.08,1412.083652,Outlier,,,,,,,,,,,,,,,,,,
,429,9,45,1,2,z,z,1,0.556619504,1,3,1,,556.619504,556.62,556.619504,556.619504,,,,,,,,,,,,,,,,,,
,430,9,46,1,1,a,a,1,0.557146864,1,3,2,,557.1468638,557.15,557.1468638,557.1468638,,,,,,,,,,,,,,,,,,
,431,9,47,2,1,a,a,1,1.170721231,1,3,1,,1170.721231,1170.72,1170.721231,1170.721231,,,,,,,,,,,,,,,,,,
,432,9,48,1,1,a,a,1,1.176591025,1,3,4,,1176.591025,1176.59,1176.591025,1176.591025,,,,,,,,,,,,,,,,,,
,437,10,5,1,1,a,z,0,0.573502415,1,3,4,,573.5024147,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,441,10,9,2,1,a,a,1,0.571456691,1,3,4,,571.4566908,571.46,571.4566908,571.4566908,,,,,,,,,,,,,,,,,,
,445,10,13,1,1,a,p,0,1.500023609,1,3,3,,1500.023609,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,447,10,15,2,1,z,z,1,0.969293093,1,3,2,,969.2930931,969.29,969.2930931,969.2930931,,,,,,,,,,,,,,,,,,
,450,10,18,1,1,z,z,1,0.738485834,1,3,3,,738.4858343,738.49,738.4858343,738.4858343,,,,,,,,,,,,,,,,,,
